"dataset","method","classifier","TP_mean","TP_sd","TN_mean","TN_sd","FP_mean","FP_sd","FN_mean","FN_sd","Sensitivity_mean","Sensitivity_sd","Specificity_mean","Specificity_sd","Precision_mean","Precision_sd","F1_mean","F1_sd","Gmean_mean","Gmean_sd","BalancedAccuracy_mean","BalancedAccuracy_sd","MCC_mean","MCC_sd","AUPRC_mean","AUPRC_sd","AUROC_mean","AUROC_sd","runtime_seconds_mean","runtime_seconds_sd","n_train_original_mean","n_train_original_sd","n_train_final_mean","n_train_final_sd"
"attrition","smote_enn","knn",46.6,0.5,135.96,3.66833295471753,111.44,3.7868192457523,0,0,1,0,0.549562491837534,0.0150514606275612,0.295009573187423,0.0068334743946559,0.455568574140578,0.00815262871077056,0.741257876528751,0.0101679808724582,0.774781245918767,0.00752573031378059,0.402645527353153,0.010071489739373,0.39669350562037,0.0114779487140529,0.856509985179801,0.00704970151520416,0.345480394363403,0.00492749796059983,1176,0.912870929175277,1527.08,9.08717044335951
"attrition","smote_enn","logit",41.56,1.12101144805335,175.88,2.61916017074176,71.52,2.63185612575358,5.04,0.888819441731559,0.891785383903793,0.019334687727061,0.710914849157634,0.0105859344855992,0.367649996985307,0.00975651031828478,0.520583698544372,0.0115788808296108,0.796154375468139,0.00962451208148413,0.801350116530713,0.0102182464875557,0.45255091291785,0.0159992127479829,0.65818375308873,0.0121955220474603,0.89112794554015,0.00429121231996746,0.345480394363403,0.00492749796059983,1176,0.912870929175277,1527.08,9.08717044335951
"attrition","smote_enn","rf",46.6,0.5,0,0,247.4,0.5,0,0,1,0,0,0,0.158500237487255,0.0012692129968606,0.273628057548607,0.00189202008458717,0,0,0.5,0,NA,NA,0.158500237487255,0.0012692129968606,0.5,0,0.345480394363403,0.00492749796059983,1176,0.912870929175277,1527.08,9.08717044335951
"attrition","smote_enn","svm_rbf",46.56,0.58309518948453,247.4,0.5,0,0,0.04,0.2,0.999130434782609,0.00434782608695652,1,0,1,0,0.99956043956044,0.00219780219780219,0.999562828403747,0.00218585798126389,0.999565217391304,0.00217391304347827,0.99948298406726,0.00258507966369792,0.999431308219888,0.0028434589005603,0.999697236402042,0.00151381798979133,0.345480394363403,0.00492749796059983,1176,0.912870929175277,1527.08,9.08717044335951
"attrition","smote_enn","xgb",46.6,0.5,0,0,247.4,0.5,0,0,1,0,0,0,0.158500237487255,0.0012692129968606,0.273628057548607,0.00189202008458717,0,0,0.5,0,NA,NA,0.158500237487255,0.0012692129968606,0.5,0,0.345480394363403,0.00492749796059983,1176,0.912870929175277,1527.08,9.08717044335951
"attrition","smote_tomek","knn",46.6,0.5,187.92,2.28983259941275,59.48,2.2196095752782,0,0,1,0,0.759578163771712,0.00900337916528177,0.439463689691806,0.00949090464319081,0.610535640253322,0.00916418947705594,0.871523114163399,0.00516652392039072,0.879789081885856,0.00450168958264088,0.577752665876568,0.00959519111907379,0.999673618828494,0.00163190585753163,0.999887343777504,0.000563281112480185,0.264058952331543,0.0423450523336223,1176,0.912870929175277,1963.84,1.72433562085034
"attrition","smote_tomek","logit",36.92,0.953939201416945,210.24,2.31444737824533,37.16,2.35725829443162,9.68,0.802080627701064,0.792247918593895,0.0173567028392623,0.84980083583649,0.00948031887363224,0.498795031140466,0.0185077149076776,0.612035753891982,0.0172689272710428,0.820473042295598,0.0111631557619498,0.821024377215192,0.0109555038915941,0.540331480307821,0.0211768899364202,0.730602902802972,0.00830473339219366,0.90196042764132,0.00261088097010327,0.264058952331543,0.0423450523336223,1176,0.912870929175277,1963.84,1.72433562085034
"attrition","smote_tomek","rf",46.6,0.5,0,0,247.4,0.5,0,0,1,0,0,0,0.158500237487255,0.0012692129968606,0.273628057548607,0.00189202008458717,0,0,0.5,0,NA,NA,0.158500237487255,0.0012692129968606,0.5,0,0.264058952331543,0.0423450523336223,1176,0.912870929175277,1963.84,1.72433562085034
"attrition","smote_tomek","svm_rbf",12.32,5.77148161220323,247.4,0.5,0,0,34.28,5.76281181368956,0.264329324699352,0.124142329008337,1,0,1,0,0.40437270115657,0.146686843986395,0.501298681797562,0.116498195297981,0.632164662349676,0.0620711645041683,0.470951155064228,0.114742418128522,0.998207943470533,0.00134660018010375,0.999667594796657,0.000247837295198538,0.264058952331543,0.0423450523336223,1176,0.912870929175277,1963.84,1.72433562085034
"attrition","smote_tomek","xgb",46.6,0.5,0,0,247.4,0.5,0,0,1,0,0,0,0.158500237487255,0.0012692129968606,0.273628057548607,0.00189202008458717,0,0,0.5,0,NA,NA,0.158500237487255,0.0012692129968606,0.5,0,0.264058952331543,0.0423450523336223,1176,0.912870929175277,1963.84,1.72433562085034
