"dataset","split","method","classifier","runtime_seconds","n_train_original","n_train_final","TP","TN","FP","FN","Sensitivity","Specificity","Precision","F1","Gmean","BalancedAccuracy","MCC","AUPRC","AUROC"
"attrition",3,"smote_tomek","rf",0.254485130310059,1176,1964,47,0,247,0,1,0,0.159863945578231,0.275659824046921,0,0.5,NA,0.159863945578231,0.5
"attrition",3,"smote_tomek","xgb",0.254485130310059,1176,1964,47,0,247,0,1,0,0.159863945578231,0.275659824046921,0,0.5,NA,0.159863945578231,0.5
"attrition",3,"smote_enn","knn",0.342462778091431,1176,1529,47,139,108,0,1,0.562753036437247,0.303225806451613,0.465346534653465,0.750168671991338,0.781376518218623,0.413087452371502,0.394957983193277,0.854251012145749
"attrition",3,"smote_enn","logit",0.342462778091431,1176,1529,41,176,71,6,0.872340425531915,0.712550607287449,0.366071428571429,0.515723270440251,0.788407699083512,0.792445516409682,0.441395258222973,0.681245627588558,0.892669480575416
"attrition",3,"smote_enn","svm_rbf",0.342462778091431,1176,1529,47,247,0,0,1,1,1,1,1,1,1,1,1
"attrition",3,"smote_enn","rf",0.342462778091431,1176,1529,47,0,247,0,1,0,0.159863945578231,0.275659824046921,0,0.5,NA,0.159863945578231,0.5
"attrition",3,"smote_enn","xgb",0.342462778091431,1176,1529,47,0,247,0,1,0,0.159863945578231,0.275659824046921,0,0.5,NA,0.159863945578231,0.5
"attrition",3,"da_smote","knn",0.0167360305786133,1176,1964,47,188,59,0,1,0.761133603238866,0.443396226415094,0.61437908496732,0.872429712491996,0.880566801619433,0.580933531029013,1,1
"attrition",3,"da_smote","logit",0.0167360305786133,1176,1964,37,212,35,10,0.787234042553192,0.8582995951417,0.513888888888889,0.621848739495798,0.821999184917582,0.822766818847446,0.55014041119279,0.724584716738299,0.902920148160911
"attrition",3,"da_smote","svm_rbf",0.0167360305786133,1176,1964,8,247,0,39,0.170212765957447,1,1,0.290909090909091,0.412568498503517,0.585106382978723,0.383408312685024,1,1
"attrition",3,"da_smote","rf",0.0167360305786133,1176,1964,47,0,247,0,1,0,0.159863945578231,0.275659824046921,0,0.5,NA,0.159863945578231,0.5
"attrition",3,"da_smote","xgb",0.0167360305786133,1176,1964,47,0,247,0,1,0,0.159863945578231,0.275659824046921,0,0.5,NA,0.159863945578231,0.5
"attrition",3,"penn","knn",0.155710935592651,1176,1176,21,246,1,26,0.446808510638298,0.995951417004049,0.954545454545455,0.608695652173913,0.667082880382701,0.721379963821173,0.616694281020663,0.764149529679789,0.938754414678267
"attrition",3,"penn","logit",0.155710935592651,1176,1176,26,240,7,21,0.553191489361702,0.97165991902834,0.787878787878788,0.65,0.733153461261937,0.762425704195021,0.609335595378486,0.763182932882558,0.896459643380135
"attrition",3,"penn","svm_rbf",0.155710935592651,1176,1176,47,247,0,0,1,1,1,1,1,1,1,1,1
"attrition",3,"penn","rf",0.155710935592651,1176,1176,47,0,247,0,1,0,0.159863945578231,0.275659824046921,0,0.5,NA,0.159863945578231,0.5
