"imbalance_ratio","replication","split","method","classifier","runtime_seconds","TP","TN","FP","FN","Sensitivity","Specificity","Precision","F1","Gmean","BalancedAccuracy","MCC","AUPRC","AUROC"
"5:995",5,1,"smote_enn","knn",0.0141949653625488,1,194,5,0,1,0.974874371859296,0.166666666666667,0.285714285714286,0.987357266575426,0.987437185929648,0.40308691615649,0.25,0.992462311557789
"5:995",5,1,"da_smote","knn",0.00585699081420898,1,196,3,0,1,0.984924623115578,0.25,0.4,0.99243368701167,0.992462311557789,0.496216843505835,1,1
"5:995",5,1,"penn","knn",0.00373983383178711,0,199,0,1,0,1,NA,NA,0,0.5,NA,0.333333333333333,0.994974874371859
"5:995",5,1,"ld_smote","knn",0.00753211975097656,1,197,2,0,1,0.989949748743719,0.333333333333333,0.5,0.994962184579755,0.994974874371859,0.57444168510062,1,1
"5:995",5,1,"da_smote_penn","knn",0.0129590034484863,1,196,3,0,1,0.984924623115578,0.25,0.4,0.99243368701167,0.992462311557789,0.496216843505835,0.25,0.992462311557789
"5:995",5,2,"baseline","knn",1.71661376953125e-05,0,199,0,1,0,1,NA,NA,0,0.5,NA,0.333333333333333,0.994974874371859
"5:995",5,2,"smote","knn",0.00584697723388672,1,196,3,0,1,0.984924623115578,0.25,0.4,0.99243368701167,0.992462311557789,0.496216843505835,1,1
"5:995",5,2,"adasyn","knn",0.00608611106872559,1,196,3,0,1,0.984924623115578,0.25,0.4,0.99243368701167,0.992462311557789,0.496216843505835,1,1
"5:995",5,2,"borderline_smote","knn",0.00607490539550781,1,199,0,0,1,1,1,1,1,1,1,1,1
"5:995",5,2,"smote_tomek","knn",0.0140559673309326,1,196,3,0,1,0.984924623115578,0.25,0.4,0.99243368701167,0.992462311557789,0.496216843505835,1,1
"5:995",5,2,"smote_enn","knn",0.0141980648040771,1,194,5,0,1,0.974874371859296,0.166666666666667,0.285714285714286,0.987357266575426,0.987437185929648,0.40308691615649,0.25,0.992462311557789
"5:995",5,2,"da_smote","knn",0.00580787658691406,1,196,3,0,1,0.984924623115578,0.25,0.4,0.99243368701167,0.992462311557789,0.496216843505835,1,1
"5:995",5,2,"penn","knn",0.00374507904052734,0,199,0,1,0,1,NA,NA,0,0.5,NA,0.333333333333333,0.994974874371859
"5:995",5,2,"ld_smote","knn",0.00755000114440918,1,197,2,0,1,0.989949748743719,0.333333333333333,0.5,0.994962184579755,0.994974874371859,0.57444168510062,0.333333333333333,0.994974874371859
"5:995",5,2,"da_smote_penn","knn",0.0128319263458252,1,196,3,0,1,0.984924623115578,0.25,0.4,0.99243368701167,0.992462311557789,0.496216843505835,0.25,0.992462311557789
"5:995",5,3,"baseline","knn",1.69277191162109e-05,0,199,0,1,0,1,NA,NA,0,0.5,NA,0.333333333333333,0.994974874371859
"5:995",5,3,"smote","knn",0.00569510459899902,1,196,3,0,1,0.984924623115578,0.25,0.4,0.99243368701167,0.992462311557789,0.496216843505835,1,1
"5:995",5,3,"adasyn","knn",0.0061790943145752,1,196,3,0,1,0.984924623115578,0.25,0.4,0.99243368701167,0.992462311557789,0.496216843505835,1,1
"5:995",5,3,"borderline_smote","knn",0.00607991218566895,1,199,0,0,1,1,1,1,1,1,1,1,1
"5:995",5,3,"smote_tomek","knn",0.0141010284423828,1,196,3,0,1,0.984924623115578,0.25,0.4,0.99243368701167,0.992462311557789,0.496216843505835,1,1
"5:995",5,3,"smote_enn","knn",0.0141339302062988,1,194,5,0,1,0.974874371859296,0.166666666666667,0.285714285714286,0.987357266575426,0.987437185929648,0.40308691615649,0.25,0.992462311557789
"5:995",5,3,"da_smote","knn",0.00588297843933105,1,196,3,0,1,0.984924623115578,0.25,0.4,0.99243368701167,0.992462311557789,0.496216843505835,1,1
"5:995",5,3,"penn","knn",0.00374698638916016,0,199,0,1,0,1,NA,NA,0,0.5,NA,0.333333333333333,0.994974874371859
"5:995",5,3,"ld_smote","knn",0.00738096237182617,1,197,2,0,1,0.989949748743719,0.333333333333333,0.5,0.994962184579755,0.994974874371859,0.57444168510062,0.333333333333333,0.994974874371859
"5:995",5,3,"da_smote_penn","knn",0.012890100479126,1,196,3,0,1,0.984924623115578,0.25,0.4,0.99243368701167,0.992462311557789,0.496216843505835,0.25,0.992462311557789
"5:995",5,4,"baseline","knn",1.59740447998047e-05,0,199,0,1,0,1,NA,NA,0,0.5,NA,0.333333333333333,0.994974874371859
"5:995",5,4,"smote","knn",0.00574493408203125,1,196,3,0,1,0.984924623115578,0.25,0.4,0.99243368701167,0.992462311557789,0.496216843505835,1,1
"5:995",5,4,"adasyn","knn",0.00606894493103027,1,196,3,0,1,0.984924623115578,0.25,0.4,0.99243368701167,0.992462311557789,0.496216843505835,1,1
"5:995",5,4,"borderline_smote","knn",0.00616121292114258,1,199,0,0,1,1,1,1,1,1,1,1,1
"5:995",5,4,"smote_tomek","knn",0.0140190124511719,1,196,3,0,1,0.984924623115578,0.25,0.4,0.99243368701167,0.992462311557789,0.496216843505835,1,1
"5:995",5,4,"smote_enn","knn",0.0142030715942383,1,194,5,0,1,0.974874371859296,0.166666666666667,0.285714285714286,0.987357266575426,0.987437185929648,0.40308691615649,0.25,0.992462311557789
"5:995",5,4,"da_smote","knn",0.00586318969726562,1,196,3,0,1,0.984924623115578,0.25,0.4,0.99243368701167,0.992462311557789,0.496216843505835,1,1
"5:995",5,4,"penn","knn",0.00370597839355469,0,199,0,1,0,1,NA,NA,0,0.5,NA,0.333333333333333,0.994974874371859
"5:995",5,4,"ld_smote","knn",0.00755405426025391,1,197,2,0,1,0.989949748743719,0.333333333333333,0.5,0.994962184579755,0.994974874371859,0.57444168510062,1,1
"5:995",5,4,"da_smote_penn","knn",0.0128951072692871,1,196,3,0,1,0.984924623115578,0.25,0.4,0.99243368701167,0.992462311557789,0.496216843505835,0.25,0.992462311557789
"5:995",5,5,"baseline","knn",1.71661376953125e-05,0,199,0,1,0,1,NA,NA,0,0.5,NA,0.333333333333333,0.994974874371859
"5:995",5,5,"smote","knn",0.00587105751037598,1,196,3,0,1,0.984924623115578,0.25,0.4,0.99243368701167,0.992462311557789,0.496216843505835,1,1
"5:995",5,5,"adasyn","knn",0.00608205795288086,1,196,3,0,1,0.984924623115578,0.25,0.4,0.99243368701167,0.992462311557789,0.496216843505835,1,1
"5:995",5,5,"borderline_smote","knn",0.00602006912231445,1,198,1,0,1,0.994974874371859,0.5,0.666666666666667,0.997484272744117,0.99748743718593,0.705327893384297,1,1
"5:995",5,5,"smote_tomek","knn",0.0140671730041504,1,196,3,0,1,0.984924623115578,0.25,0.4,0.99243368701167,0.992462311557789,0.496216843505835,0.5,0.99748743718593
"5:995",5,5,"smote_enn","knn",0.0141198635101318,1,194,5,0,1,0.974874371859296,0.166666666666667,0.285714285714286,0.987357266575426,0.987437185929648,0.40308691615649,0.25,0.992462311557789
"5:995",5,5,"da_smote","knn",0.00587201118469238,1,196,3,0,1,0.984924623115578,0.25,0.4,0.99243368701167,0.992462311557789,0.496216843505835,1,1
"5:995",5,5,"penn","knn",0.00371599197387695,0,199,0,1,0,1,NA,NA,0,0.5,NA,0.333333333333333,0.994974874371859
"5:995",5,5,"ld_smote","knn",0.00754785537719727,1,196,3,0,1,0.984924623115578,0.25,0.4,0.99243368701167,0.992462311557789,0.496216843505835,0.25,0.992462311557789
"5:995",5,5,"da_smote_penn","knn",0.012794017791748,1,196,3,0,1,0.984924623115578,0.25,0.4,0.99243368701167,0.992462311557789,0.496216843505835,0.333333333333333,0.994974874371859
"5:995",7,1,"baseline","knn",1.69277191162109e-05,0,199,0,1,0,1,NA,NA,0,0.5,NA,0.5,0.99748743718593
"5:995",7,1,"smote","knn",0.00581502914428711,1,183,16,0,1,0.919597989949749,0.0588235294117647,0.111111111111111,0.95895671953939,0.959798994974874,0.232581167356277,1,1
"5:995",7,1,"adasyn","knn",0.00609016418457031,1,185,14,0,1,0.92964824120603,0.0666666666666667,0.125,0.964182680411772,0.964824120603015,0.248950897595762,1,1
"5:995",7,1,"borderline_smote","knn",0.00608491897583008,1,182,17,0,1,0.914572864321608,0.0555555555555556,0.105263157894737,0.956333030027515,0.957286432160804,0.225409856868378,1,1
"5:995",7,1,"smote_tomek","knn",0.00813698768615723,1,180,19,0,1,0.904522613065327,0.05,0.0952380952380952,0.951063937422362,0.952261306532663,0.212664361502501,0.25,0.992462311557789
"5:995",7,1,"smote_enn","knn",0.0140419006347656,1,168,31,0,1,0.844221105527638,0.03125,0.0606060606060606,0.918815055126786,0.922110552763819,0.16242508903411,0.0333333333333333,0.92713567839196
"5:995",7,1,"da_smote","knn",0.00594305992126465,1,184,15,0,1,0.92462311557789,0.0625,0.117647058823529,0.961573250240401,0.962311557788945,0.2403933125601,1,1
"5:995",7,1,"penn","knn",0.00371098518371582,0,199,0,1,0,1,NA,NA,0,0.5,NA,0.5,0.99748743718593
"5:995",7,1,"ld_smote","knn",0.00743412971496582,1,182,17,0,1,0.914572864321608,0.0555555555555556,0.105263157894737,0.956333030027515,0.957286432160804,0.225409856868378,1,1
